file,loc,log,log_file,block,block_file,block_feature,cluster_index
second/download/bftpd/bftpd/bftpd/main.cpp,87,"control_printf(SL_SUCCESS, ""%i-%s"", number, foo)",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_0.cpp,"{
			foo[strlen(foo) - 1] = '\0';
			control_printf(SL_SUCCESS, ""%i-%s"", number, foo);
		}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_0.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]",0
second/download/bftpd/bftpd/bftpd/main.cpp,101,"bftpd_log(""Quitting.\n"")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_1.cpp,"{
    Force_Update_Sent_Recv_Log();
	if (passwdfile)
		fclose(passwdfile);
	if (groupfile)
		fclose(groupfile);
	config_end();
	bftpd_log(""Quitting.\n"");
    bftpd_statuslog(1, 0, ""quit"");
    bftpdutmp_end();
	log_end();
	login_end();
	bftpd_cwd_end();
	if (daemonmode) {
		close(sock);
		close(0);
		close(1);
		close(2);
	}
}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_1.cpp,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 14, 0, 0, 14, 0, 10, 0, 0, 0, 0, 0, 0]",15
second/download/bftpd/bftpd/bftpd/main.cpp,102,"bftpd_statuslog(1, 0, ""quit"")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_2.cpp,"{
    Force_Update_Sent_Recv_Log();
	if (passwdfile)
		fclose(passwdfile);
	if (groupfile)
		fclose(groupfile);
	config_end();
	bftpd_log(""Quitting.\n"");
    bftpd_statuslog(1, 0, ""quit"");
    bftpdutmp_end();
	log_end();
	login_end();
	bftpd_cwd_end();
	if (daemonmode) {
		close(sock);
		close(0);
		close(1);
		close(2);
	}
}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_2.cpp,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 14, 0, 0, 14, 0, 10, 0, 0, 0, 0, 0, 0]",15
second/download/bftpd/bftpd/bftpd/main.cpp,125,"bftpd_log(""Caught HUP signal. Re-reading config file.\n"")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_3.cpp,"{
   bftpd_log(""Caught HUP signal. Re-reading config file.\n"");
   Reread_Config_File();
   signal(sig, handler_sighup);
}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_3.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0]",1
second/download/bftpd/bftpd/bftpd/main.cpp,172,"bftpd_log(""Kicked from the server due to data connection timeout.\n"")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_4.cpp,"{
        close(alarm_type);
        bftpd_log(""Kicked from the server due to data connection timeout.\n"");
        control_printf(SL_FAILURE, ""421 Kicked from the server due to data connection timeout."");
        exit(0);
    }",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_4.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0]",16
second/download/bftpd/bftpd/bftpd/main.cpp,173,"control_printf(SL_FAILURE, ""421 Kicked from the server due to data connection timeout."")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_5.cpp,"{
        close(alarm_type);
        bftpd_log(""Kicked from the server due to data connection timeout.\n"");
        control_printf(SL_FAILURE, ""421 Kicked from the server due to data connection timeout."");
        exit(0);
    }",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_5.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 0]",16
second/download/bftpd/bftpd/bftpd/main.cpp,176,"bftpd_log(""Kicked from the server due to control connection timeout.\n"")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_6.cpp,"{
        bftpd_log(""Kicked from the server due to control connection timeout.\n"");
        control_printf(SL_FAILURE, ""421 Kicked from the server due to control connection timeout."");
        exit(0);
    }",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_6.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0]",24
second/download/bftpd/bftpd/bftpd/main.cpp,177,"control_printf(SL_FAILURE, ""421 Kicked from the server due to control connection timeout."")",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_7.cpp,"{
        bftpd_log(""Kicked from the server due to control connection timeout.\n"");
        control_printf(SL_FAILURE, ""421 Kicked from the server due to control connection timeout."");
        exit(0);
    }",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_7.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0]",24
second/download/bftpd/bftpd/bftpd/main.cpp,211,"printf(
					""Usage: %s [-h] [-i|-d|-D] [-c <filename>|-n]\n""
					""-h print this help\n""
					""-i (default) run from inetd\n""
					""-d daemon mode: fork() and run in TCP listen mode\n""
					""-D run in TCP listen mode, but don't pre-fork()\n""
					""-c read the config file named \""filename\"" instead of "" PATH_BFTPD_CONF ""\n""
					""-n no config file, use defaults\n"", argv[0])",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_8.cpp,"{
			case 'h':
				printf(
					""Usage: %s [-h] [-i|-d|-D] [-c <filename>|-n]\n""
					""-h print this help\n""
					""-i (default) run from inetd\n""
					""-d daemon mode: fork() and run in TCP listen mode\n""
					""-D run in TCP listen mode, but don't pre-fork()\n""
					""-c read the config file named \""filename\"" instead of "" PATH_BFTPD_CONF ""\n""
					""-n no config file, use defaults\n"", argv[0]);
				return 0;
			case 'i': daemonmode = 0; break;
			case 'd': daemonmode = 1; break;
			case 'D': daemonmode = 2; break;
			case 'c': configpath = strdup(optarg); break;
			case 'n': configpath = NULL; break;
		}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_8.cpp,"[0, 0, 0, 0, 5, 0, 1, 0, 6, 0, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 3, 0, 0, 0, 0, 0, 0]",2
second/download/bftpd/bftpd/bftpd/main.cpp,259,"fprintf(stderr, ""Bind failed: %s\n"", strerror(errno))",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_log_9.cpp,"{
			fprintf(stderr, ""Bind failed: %s\n"", strerror(errno));
			exit(1);
		}",second/download/bftpd/bftpd-old-new/bftpd_bftpd_repos_block_9.cpp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]",22
